Column,Trip Start,Trip End,# of Days,Trip Year,Year but text,Traveler,Member,Party,State / District,Destination,Destination Cleaned,Country Cleaned,Country Cleaner,Count,Column,Column2,Filing Type,Israel?,Palestine?
28,5/10/14,5/18/14,8,2014,2014,Brooke Scannell,Katherine Clark,D,MA-5,"Algiers, Algeria",Algiers, Algeria, Algeria,25,,,Original,1,0
31,5/10/14,5/18/14,8,2014,2014,Stanley Watkins,Bobby L. Rush,D,IL-1,"Algiers, Algeria",Algiers, Algeria, Algeria,25,,,Original,0,0
34,5/10/14,5/18/14,8,2014,2014,Lisa Bianco,John Delaney,D,MD-6,"Algiers, Algeria",Algiers, Algeria, Algeria,25,,,Original,0,0
38,5/10/14,5/18/14,8,2014,2014,Andy Harris,Andy Harris,R,MD-1,"Algiers, Algeria",Algiers, Algeria, Algeria,25,,,Original,0,0
42,5/9/14,5/18/14,9,2014,2014,Lloyd Doggett,Lloyd Doggett,D,TX-35,"Algiers, Algeria",Algiers, Algeria, Algeria,25,,,Original,0,0
42,5/10/14,5/18/14,8,2014,2014,Raul Martinez,Joe Garcia,D,FL-26,"Algiers, Algeria",Algiers, Algeria, Algeria,25,,,Original,0,0
45,5/10/14,5/18/14,8,2014,2014,Jonathon Bray,Lois Frankel,D,FL-22,"Algiers, Algeria",Algiers, Algeria, Algeria,25,,,Original,0,0
48,5/10/14,5/18/14,8,2014,2014,Mark Henson,Jim Himes,D,CT-4,"Algiers, Algeria",Algiers, Algeria, Algeria,25,,,Original,0,0
17,3/15/08,3/21/08,6,2008,2008,Robert Primus,"Capuano, Michael",,MA-0,Tindouf,Tindouf,Tindouf, Algeria,25,,,Original,0,0
18,3/15/08,3/21/08,6,2008,2008,Robert Primus,"Capuano, Michael",,MA-0,Tindouf,Tindouf,Tindouf, Algeria,25,,,Original,0,0
7,3/15/08,3/22/08,7,2008,2008,Philip Schmidt,"Serrano, Jose",,NY-0,Tindouf,Tindouf,Tindouf, Algeria,25,,,Original,0,0
11,3/15/08,3/22/08,7,2008,2008,Martin Green,Mark Souder,R,IN-3,Tindouf,Tindouf,Tindouf, Algeria,25,,,Original,0,0
8,3/15/08,3/22/08,7,2008,2008,Philip Schmidt,"Serrano, Jose",,NY-0,Tindouf,Tindouf,Tindouf, Algeria,23,,,Original,0,0
6,3/10/15,3/15/15,5,2015,2015,Beto O'Rourke,Beto O'Rourke,D,TX-16,Algiers,Algiers,Algiers, Algeria,23,,,Original,0,0
8,3/10/15,3/15/15,5,2015,2015,Norma J. Torres,Norma Torres,D,CA-35,Algiers,Algiers,Algiers, Algeria,23,,,Original,0,0
10,3/10/15,3/15/15,5,2015,2015,Dara Postar,Norma Torres,D,CA-35,Algiers,Algiers,Algiers, Algeria,20,,,Original,0,0
10,8/9/15,8/15/15,6,2015,2015,Ana Sorrentino,Sam Farr,D,CA-20,Algiers,Algiers,Algiers, Algeria,20,,,Original,0,0
13,8/9/15,8/15/15,6,2015,2015,Kristina Dunklin,David Valadao,R,CA-21,Algiers,Algiers,Algiers, Algeria,20,,,Original,0,0
17,8/9/15,8/15/15,6,2015,2015,Aaron Woolf,Beto O'Rourke,D,TX-16,Algiers,Algiers,Algiers, Algeria,20,,,Original,0,0
20,1/26/17,1/29/17,3,2017,2017,Cynthia Buhl,Jim McGovern,D,MA-2,Algiers,Algiers,Algiers, Algeria,20,,,Original,0,0
21,8/26/23,9/1/23,6,2023,2023,David Rouzer,David Rouzer,R,NC-7,"Algiers, Algeria Tindouf, Alg",Algiers, Algeria Tindouf, Algeria,20,,,Original,0,0
24,8/26/23,9/1/23,6,2023,2023,Kim Schrier,Kim Schrier,D,WA-8,"Algiers, Algeria Tindouf, Alg",Algiers, Algeria Tindouf, Algeria,20,,,Original,0,0
40,8/16/09,8/22/09,6,2009,2009,Susan A. Davis,Susan A. Davis,D,CA-53,"Luanda, Angola",Luanda, Angola, Angola,20,,,Original,0,0
41,8/17/09,8/22/09,5,2009,2009,Tom Cole,Tom Cole,R,OK-4,"Luanda, Angola",Luanda, Angola, Angola,20,,,Original,0,0
43,8/17/09,8/22/09,5,2009,2009,Zoe Lofgren,"Lofgren, Zoe",,CA-0,"Cuito Cuanavale, Angola",Cuito Cuanavale, Angola, Angola,21,,,Original,0,0
44,8/17/09,8/22/09,5,2009,2009,Michael M. Honda,"Honda, Michael M.",,CA-0,"Cuito Cuanavale, Angola",Cuito Cuanavale, Angola, Angola,19,,,Original,0,0
5,11/14/14,11/17/14,3,2014,2014,James P. McGovern,Jim McGovern,D,MA-2,Angola,Angola,Angola, Angola,19,,,Original,0,0
45,2/17/12,2/23/12,6,2012,2012,Marilyn Dillihay,Steve Cohen,D,TN-9,"Buenos Aires, Argentina",Buenos Aires, Argentina, Argentina,19,,,Original,0,0
47,2/17/12,2/23/12,6,2012,2012,Dwight Barry Londeree,James P. Moran,D,VA-8,"Buenos Aires, Argentina",Buenos Aires, Argentina, Argentina,19,,,Original,0,0
49,2/17/12,2/23/12,6,2012,2012,Jeremy Haldeman,Howard L. Berman,D,CA-28,"Buenos Aires, Argentina",Buenos Aires, Argentina, Argentina,21,,,Original,0,0
1,2/17/12,2/23/12,6,2012,2012,John Busovsky,"Thompson, Glenn",,PA-0,"Buenos Aires, Argentina",Buenos Aires, Argentina, Argentina,18,,,Original,0,0
4,2/17/12,2/23/12,6,2012,2012,Joshua Willis,Robert B. Aderholt,R,AL-4,"Buenos Aires, Argentina",Buenos Aires, Argentina, Argentina,20,,,Original,0,0
6,2/17/12,2/23/12,6,2012,2012,Kerry Donnelly,"Grimm, Michael G.",,NY-0,"Buenos Aires, Argentina",Buenos Aires, Argentina, Argentina,20,,,Original,0,0
8,2/17/12,2/23/12,6,2012,2012,Rochelle S. Dornatt,"Farr, Sam",,CA-0,"Buenos Aires, Argentina",Buenos Aires, Argentina, Argentina,20,,,Original,0,0
42,2/15/13,2/21/13,6,2013,2013,Paula Sunde,Betty McCollum,D,MN-4,"Buenos Aires, Argentina",Buenos Aires, Argentina, Argentina,21,,,Original,0,0
44,2/15/13,2/21/13,6,2013,2013,Allison Thigpen,Jack Kingston,R,GA-1,"Buenos Aires, Argentina",Buenos Aires, Argentina, Argentina,17,,,Original,0,0
46,2/15/13,2/21/13,6,2013,2013,Mira Lezell,Frank R. Wolf,R,VA-10,"Buenos Aires, Argentina",Buenos Aires, Argentina, Argentina,21,,,Original,0,0
49,2/15/13,2/21/13,6,2013,2013,Jed R. Bullock,Pedro Pierluisi,D,PR,"Buenos Aires, Argentina",Buenos Aires, Argentina, Argentina,21,,,Original,0,0
4,2/15/13,2/21/13,6,2013,2013,Tara Oursler,C.A. Dutch Ruppersberger,D,MD-2,"Buenos Aires, Argentina",Buenos Aires, Argentina, Argentina,21,,,Original,0,0
6,2/15/13,2/21/13,6,2013,2013,Julie Goldfarb,Andy Harris,R,MD-1,"Buenos Aires, Argentina",Buenos Aires, Argentina, Argentina,21,,,Original,0,0
17,4/13/09,4/18/09,5,2009,2009,Peter Roskam,Peter Roskam,R,IL-6,Argentina,Argentina,Argentina, Argentina,21,,,Original,0,0
45,11/11/09,11/16/09,5,2009,2009,Cynthia Buhl,"McGovern, James P.",,MA-0,Argentina,Argentina,Argentina, Argentina,21,,,Original,0,0
36,2/17/12,2/23/12,6,2012,2012,Rochelle S. Dornatt,"Farr, Sam",,CA-0,"Sydney, Australia",Sydney, Australia, Australia,21,,,Original,0,0
41,2/17/12,2/23/12,6,2012,2012,Erik Elam,Don Young,R,AK-1,"Melbourne, Australia",Melbourne, Australia, Australia,21,,,Original,0,0
43,2/17/12,2/23/12,6,2012,2012,Kerry Donnelly,"Grimm, Michael G.",,NY-0,"Adelaide, Australia",Adelaide, Australia, Australia,21,,,Original,0,0
25,3/6/15,3/14/15,8,2015,2015,Colin Swanson,Dave Reichert,R,WA-8,"Perth, Austrlia",Perth, Austrlia, Australia,21,,,Original,0,0
37,3/15/14,3/23/14,8,2014,2014,Jennifer Cox,Ron Barber,D,AZ-2,"Vienna, Austria",Vienna, Austria, Austria,21,,,Original,0,0
48,3/15/14,3/23/14,8,2014,2014,Patrick Leopold,Lynn Jenkins,R,KS-2,"Vienna, Austria",Vienna, Austria, Austria,21,,,Original,0,0
1,3/15/14,3/23/14,8,2014,2014,Reed Adamson,Brad Schneider,D,IL-10,"Vienna, Austria",Vienna, Austria, Austria,21,,,Original,0,0
4,3/15/14,3/23/14,8,2014,2014,Eric Bohl,Vicky Hartzler,R,MO-4,"Vienna, Austria",Vienna, Austria, Austria,21,,,Original,0,0
7,3/15/14,3/23/14,8,2014,2014,Richard Oliver Schwab,David Schweikert,R,AZ-6,"Vienna, Austria",Vienna, Austria, Austria,21,,,Original,0,0
10,3/15/14,3/23/14,8,2014,2014,Juan Hinojosa,Mike Quigley,D,IL-5,"Vienna, Austria",Vienna, Austria, Austria,20,,,Original,0,0
13,3/15/14,3/23/14,8,2014,2014,Carmen Gallus,"Kirkpatrick, Ann",,AZ-0,"Vienna, Austria",Vienna, Austria, Austria,20,,,Original,0,0
7,3/15/14,3/23/14,8,2014,2014,Lynnel Ruckert,Steve Scalise,R,LA-1,"Vienna, Austria",Vienna, Austria, Austria,20,,,Original,0,0
10,3/15/14,3/23/14,8,2014,2014,Theodore Edgar Maness,Alan Nunnelee,R,MS-1,"Vienna, Austria",Vienna, Austria, Austria,20,,,Original,0,0
13,3/15/14,3/23/14,8,2014,2014,Kristin Nicholson,Jim Langevin,D,RI-2,"Vienna, Austria",Vienna, Austria, Austria,20,,,Original,0,0
26,3/15/14,3/23/14,8,2014,2014,Karl Ahlgren,Markwayne Mullin,R,OK-2,"Vienna, Austria",Vienna, Austria, Austria,20,,,Original,0,0
38,3/15/14,3/23/14,8,2014,2014,Jennifer Cox,Ron Barber,D,AZ-2,"Vienna, Austria",Vienna, Austria, Austria,20,,,Original,0,0
49,3/15/14,3/23/14,8,2014,2014,Patrick Leopold,Lynn Jenkins,R,KS-2,"Vienna, Austria",Vienna, Austria, Austria,20,,,Amendment,0,0
2,3/15/14,3/23/14,8,2014,2014,Reed Adamson,Brad Schneider,D,IL-10,"Vienna, Austria",Vienna, Austria, Austria,20,,,Original,0,0
5,3/15/14,3/23/14,8,2014,2014,Eric Bohl,Vicky Hartzler,R,MO-4,"Vienna, Austria",Vienna, Austria, Austria,20,,,Original,0,0
8,3/15/14,3/23/14,8,2014,2014,Richard Oliver Schwab,David Schweikert,R,AZ-6,"Vienna, Austria",Vienna, Austria, Austria,20,,,Original,0,0
11,3/15/14,3/23/14,8,2014,2014,Juan Hinojosa,Mike Quigley,D,IL-5,"Vienna, Austria",Vienna, Austria, Austria,20,,,Original,0,0
14,3/15/14,3/23/14,8,2014,2014,Carmen Gallus,"Kirkpatrick, Ann",,AZ-0,"Vienna, Austria",Vienna, Austria, Austria,20,,,Original,0,0
5,3/15/14,3/23/14,8,2014,2014,Carmen Gallus,"Kirkpatrick, Ann",,AZ-0,"Vienna, Austria",Vienna, Austria, Austria,20,,,Original,0,0
8,3/15/14,3/23/14,8,2014,2014,Lynnel Ruckert,Steve Scalise,R,LA-1,"Vienna, Austria",Vienna, Austria, Austria,20,,,Original,0,0
11,3/15/14,3/23/14,8,2014,2014,Theodore Edgar Maness,Alan Nunnelee,R,MS-1,"Vienna, Austria",Vienna, Austria, Austria,20,,,Amendment,0,0
14,3/15/14,3/23/14,8,2014,2014,Kristin Nicholson,Jim Langevin,D,RI-2,"Vienna, Austria",Vienna, Austria, Austria,20,,,Original,0,0
27,3/15/14,3/23/14,8,2014,2014,Karl Ahlgren,Markwayne Mullin,R,OK-2,"Vienna, Austria",Vienna, Austria, Austria,20,,,Original,0,0
39,3/15/14,3/23/14,8,2014,2014,Jennifer Cox,Ron Barber,D,AZ-2,"Vienna, Austria",Vienna, Austria, Austria,20,,,Original,0,0
